Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2021-01-28,GOOGL,92.10761260986328,93.83673696746072,91.00422924946761,91.00422924946761,55278000.0,0,0,0,0.018835331906161157,0
2021-01-29,GOOGL,90.82329559326172,91.82628299540802,89.54099274771156,91.15431055818837,44530000.0,0,1,0,-0.013943657643603169,0
2021-01-30,GOOGL,,,,,,1,1,0,,1
2021-01-31,GOOGL,,,,,,1,0,1,,1
2021-02-01,GOOGL,94.08921813964844,95.20601732159051,91.6796654516127,91.6796654516127,40252000.0,0,0,1,0.03595908434123163,0
2021-02-02,GOOGL,95.38394927978516,96.88742931511274,94.75024525412037,95.08623526655502,66332000.0,0,0,0,0.013760674875787249,0
2021-02-03,GOOGL,102.33029174804688,104.70306249720146,100.07730129419846,102.66478774049807,97882000.0,0,0,0,0.0728250666984478,0
2021-02-04,GOOGL,102.06935119628906,102.848173320002,101.14836866681728,102.41676256078131,48596000.0,0,0,0,-0.002549983463354999,0
2021-02-05,GOOGL,103.81886291503906,104.17224285025218,101.88893947969503,102.36408669621515,29866000.0,0,1,0,0.017140421666691275,0
2021-02-06,GOOGL,,,,,,1,1,0,,1
2021-02-07,GOOGL,,,,,,1,0,1,,1
2021-02-08,GOOGL,103.60465240478516,105.11956910895235,102.55246807496222,104.37404025002361,28828000.0,0,0,1,-0.002063310117634498,0
2021-02-09,GOOGL,103.15087127685547,104.29997793898025,102.88297719272809,103.12154429170882,21892000.0,0,0,0,-0.00437993002627679,0
2021-02-10,GOOGL,103.70206451416016,104.31837108184618,102.00027269411578,103.53606027543401,25102000.0,0,0,0,0.005343563563562137,0
2021-02-11,GOOGL,103.81488037109375,104.07581240488946,102.82631001890793,103.92671271924092,20480000.0,0,0,0,0.0010878843874722044,0
2021-02-12,GOOGL,104.12702178955078,104.34918489370936,103.06041288902624,103.36856996594558,18990000.0,0,1,0,0.0030067117290051293,0
2021-02-13,GOOGL,,,,,,1,1,0,,1
2021-02-14,GOOGL,,,,,,1,1,1,,1
2021-02-15,GOOGL,,,,,,1,0,1,,0
2021-02-16,GOOGL,104.90585327148438,106.61758763326795,103.96399970035972,103.96399970035972,31004000.0,0,0,1,0.007479628904663027,0
2021-02-17,GOOGL,105.29948425292969,105.48934747308948,103.7950106749133,104.0748266673645,20294000.0,0,0,0,0.0037522308733970444,0
2021-02-18,GOOGL,104.66279602050781,105.46697878168075,104.04251551867287,104.62254062059169,22546000.0,0,0,0,-0.006046451575133505,0
2021-02-19,GOOGL,103.81787109375,105.29749981402172,103.55047754159321,104.76121867913992,37938000.0,0,1,0,-0.008072829686226357,0
2021-02-20,GOOGL,,,,,,1,1,0,,1
2021-02-21,GOOGL,,,,,,1,0,1,,1
2021-02-22,GOOGL,102.10067749023438,103.39641163489279,101.7895474937777,102.06787707013261,29466000.0,0,0,1,-0.016540443234141833,0
2021-02-23,GOOGL,102.39192199707031,103.00723507803231,98.91825539877483,100.09917660429801,34658000.0,0,0,0,0.002852522764736687,0
2021-02-24,GOOGL,103.5693588256836,103.79351649255214,100.77213931026829,100.89688706756169,22608000.0,0,0,0,0.011499313672879152,0
2021-02-25,GOOGL,100.19658660888672,103.52910126753403,99.72640686861114,102.18366992402821,41548000.0,0,0,0,-0.03256534804346478,0
2021-02-26,GOOGL,100.49281311035156,102.21299595151596,99.45404473122147,100.89241699926697,40042000.0,0,1,0,0.0029564530239054587,0
2021-02-27,GOOGL,,,,,,1,1,0,,1
2021-02-28,GOOGL,,,,,,1,0,1,,1
2021-03-01,GOOGL,102.86608123779297,103.19262171147524,101.11458448101827,101.7895374288961,26060000.0,0,0,1,0.02361629706629187,0
2021-03-02,GOOGL,102.6086196899414,104.11260028710367,102.22045236318077,102.62651013645349,25564000.0,0,0,0,-0.0025028808792316726,0
